Kraj;PRODUKT KRAJOWY BRUTTO WEDŁUG PARYTETU SIŁY NABYWCZEJ NA 1 MIESZKAŃCA w dolarach międzynarodowych;STOPA BEZROBOCIA OGÓŁEM (15 - 74 LATA) w %;WSKAŹNIKI CEN TOWARÓW I USŁUG KONSUMPCYJNYCH - OGÓŁEM;WSKAŹNIK ZATRUDNIENIA OSÓB W WIEKU 20-64 LATA  (przeciętne w roku) - KOBIETY w %;NAKŁADY NA DZIAŁALNOŚĆ BADAWCZO-ROZWOJOWĄ (B+R) w % PKB;UDZIAŁ ENERGII ZE ŹRÓDEŁ ODNAWIALNYCH W KOŃCOWYM ZUŻYCIU ENERGII BRUTTO w %;OSOBY W WIEKU 30-34 LATA POSIADAJĄCE WYŻSZE WYKSZTAŁCENIE w %;WSKAŹNIK ZAGROŻENIA UBÓSTWEM LUB WYKLUCZENIEM SPOŁECZNYM - OGÓŁEM w %;DŁUG SEKTORA INSTYTUCJI RZĄDOWYCH I SAMORZĄDOWYCH (ceny bieżące) w % PKB;UŻYTKOWNICY INTERNETU NA 1000 LUDNOŚCI;LUDNOŚĆ w tys.
Austria;33649;5,8;102,1;62,2;2,17;22,6;20,9;17,9;64,8;543;8105
Belgia;32261;7,4;102,1;57,6;1,81;1,9;39,9;21,6;96,5;539;10416
Bułgaria;9177;12,1;106,1;57,2;0,47;9,4;25,2;62;36;181;7715
Chorwacja;14098;13,7;102,1;51,9;1,03;23,5;16,8;35;40,4;309;4497
Cypr;26092;4,4;101,9;65,2;0,34;3,1;41;25,4;64,1;338;749
Czechy;20781;8,2;102,8;61,2;1,15;6,8;12,7;19,6;28,5;355;10212
Dania;32932;5,2;101,2;73,6;2,42;14,9;41,4;16,5;44,2;809;5401
Estonia;14430;10,2;103;67,8;0,85;18,4;28,3;26,3;5,1;532;1342
Finlandia;31140;10,4;100,2;70,1;3,31;29,2;43,4;17,2;42,7;724;5226
Francja;29169;8,9;102,1;63;2,09;9,4;35,6;19,8;65,7;392;60044
Grecja ;25455;10,3;102,9;49,3;0,53;6,9;25,1;30,9;102,9;214;11015
Hiszpania;26199;11,1;103;51,9;1,04;8,3;36,9;25;45,3;440;43768
Holandia;35441;4,7;101,3;66,8;1,81;2,1;33,6;16,7;49,8;685;16275
Irlandia;38697;4,5;102,2;60,4;1,18;2,4;38,6;24,8;28,2;370;4024
Litwa;13041;10,7;101,2;65,3;0,75;17,2;30,9;41;18,7;312;3439
Luksemburg;64097;5,1;102,2;56,2;1,6;0,9;31,4;16,1;7,3;659;454
Łotwa;12223;11,7;106,2;62,2;0,4;32,8;18,2;46,3;14;386;2312
Malta;21416;7,3;102,7;33,2;0,49;0,1;17,6;20,5;71,9;346;401
Niemcy;31440;10,7;101,7;61,8;2,42;5,8;26,8;18,4;64,8;647;82561
P o l s k a;13351;19;103,5;51,1;0,55;6,9;20,4;45,3;45;325;38180
Portugalia;9178;6,4;102,4;66;0,73;19,2;16,3;27,5;62;318;10524
Rumunia;9138;7,7;111,9;58,9;0,38;16,3;10,3;47;18,6;150;21549
Słowacja;15199;18,6;107,5;56,5;0,5;6,4;12,9;32;40,6;529;5383
Słowenia;22793;6;103,6;66,5;1,37;16,1;25,1;18,5;26,8;408;1997
Szwecja;33552;6,7;100,4;75,7;3,39;38,7;33,9;16,9;48,9;839;8991
Węgry;16199;5,8;106,7;55,1;0,86;4,4;18,5;32,1;58;277;10103
Wielka Brytania;31618;4,6;101,3;68,1;1,55;1,1;33,6;24,8;38,7;656;59561
Włochy;29468;7,9;102,2;48,4;1,05;6,3;15,6;26,2;100,1;332;57537